version,suite,round,name,sink,thread,size,pitch,aspect,paspect,width,height,depth
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,100,10/1,10/1,100,10,1,178.397
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,100,1/10,10/1,1,10,100,188.671
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,100,1/1,10/1,10,10,10,186.708
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,10,1/100,1/10,1,100,10,349.088
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,10,1/10,1/10,10,100,1,366.046
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1000,1,1/1000,1/1000,1,1000,1,1613.123
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,100,100/1,100/1,100,1,1,164.309
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,100,10/1,100/1,10,1,10,159.57
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,100,1/1,100/1,1,1,100,151.675
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,10,1/10,1/1,1,10,10,185.725
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,10,1/1,1/1,10,10,1,176.184
8.6.12,bench/image-from-value.bench,0,image from value,null,4,100,1,1/100,1/100,1,100,1,350.255
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10,10,10/1,10/1,10,1,1,146.101
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10,10,1/1,10/1,1,1,10,151.296
8.6.12,bench/image-from-value.bench,0,image from value,null,4,10,1,1/10,1/10,1,10,1,186.724
8.6.12,bench/image-from-value.bench,0,image from value,null,4,1,1,1/1,1/1,1,1,1,158.057
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,100000/1,100000/1,100000,1,1,1520.734
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,10000/1,100000/1,10000,1,10,1184.057
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,1000/1,100000/1,1000,1,100,1195.78
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,100/1,100000/1,100,1,1000,1208.872
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,10/1,100000/1,10,1,10000,1166.207
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100000,1/1,100000/1,1,1,100000,1167.419
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10000,1000/1,1000/1,10000,10,1,598.777
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10000,100/1,1000/1,1000,10,10,525.309
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10000,10/1,1000/1,100,10,100,519.228
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10000,1/10,1000/1,1,10,10000,536.091
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10000,1/1,1000/1,10,10,1000,568.873
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,1000,10/1,10/1,1000,100,1,707.219
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,1000,1/100,10/1,1,100,1000,691.068
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,1000,1/10,10/1,10,100,100,692.33
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,1000,1/1,10/1,100,100,10,672.781
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100,1/1000,1/10,1,1000,100,1901.125
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100,1/100,1/10,10,1000,10,1873.298
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,100,1/10,1/10,100,1000,1,1864.372
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10,1/10000,1/1000,1,10000,10,16055.582
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,10,1/1000,1/1000,10,10000,1,15538.092
8.6.12,bench/image-from-value.bench,0,image from value,null,8,100000,1,1/100000,1/100000,1,100000,1,148897.774
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10000,10000/1,10000/1,10000,1,1,385.052
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10000,1000/1,10000/1,1000,1,10,353.21
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10000,100/1,10000/1,100,1,100,356.073
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10000,10/1,10000/1,10,1,1000,374.756
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10000,1/1,10000/1,1,1,10000,351.56
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,1000,100/1,100/1,1000,10,1,406.438
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,1000,10/1,100/1,100,10,10,401.074
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,1000,1/10,100/1,1,10,1000,366.273
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,1000,1/1,100/1,10,10,100,389.638
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,100,1/100,1/1,1,100,100,537.817
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,100,1/10,1/1,10,100,10,572.144
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,100,1/1,1/1,100,100,1,543.696
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10,1/1000,1/100,1,1000,10,2136.498
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,10,1/100,1/100,10,1000,1,2099.602
8.6.12,bench/image-from-value.bench,0,image from value,null,8,10000,1,1/10000,1/10000,1,10000,1,16787.64
8.6.12,bench/image-from-value.bench,0,image from value,null,8,1000,1000,1000/1,1000/1,1000,1,1,287.505
